년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2022,왕치초등학교,어린이 놀이시설지역,학교용지,1지역,10384,0~15cm,1.68,16.7,5.45,0.03,20.8,0,93.2,10.3,,,,0,,,,,,,,,,,6.1
2022,어린이놀이터,어린이 놀이시설지역,공원용지,1지역,1513,0~15cm,1.85,7.8,5.07,0.03,15.4,0,73.8,5.8,,,,0,,,,,,,,,,,6.7
2022,(주)두원메디텍,산업단지 및 공장지역,공장용지,3지역,9184,0~15cm,1.97,9.1,6.92,0.02,13.4,0,49.3,12.9,151,,0,0,0,0,0,0,0,99,0,0,,0,7.4
2022,금성상공,산업단지 및 공장지역,공장용지,3지역,6786,0~15cm,2.36,452.2,6.11,0.03,347,0,432.3,14.4,359,,0,0,0,0,0,0,0,168,0,0,,0,7
2022,(유)삼양세라믹,산업단지 및 공장지역,잡종지(3지역),3지역,16250,0~15cm,2.29,15,5.25,0.03,17.5,0,75.8,10.3,328,,0,0,0,0,0,0,0,204,,,,,6.7
2022,신흥영농조합법인,산업단지 및 공장지역,잡종지(3지역),3지역,7460,0~15cm,2.84,46.8,9.22,0.03,23.9,0,82.5,10.9,114,,0,0,0,0,0,0,0,68,,,,,6
2022,(유)대신신재생산업,폐기물 처리 및 재활용 관련 지역,잡종지(3지역),3지역,9427,0~15cm,2.34,15.7,7.74,0.02,16.4,0,84.9,13.3,273,,0,0,0,0,0,0,0,77,,,,,6.4
2022,(유)동민이피에스,폐기물 처리 및 재활용 관련 지역,공장용지,3지역,14169,0~15cm,2.23,13.8,7.08,0.02,16.9,0,83.8,11.4,345,,0,0,0,0,0,0,0,193,0,0,0,0,6.7
2022,오라자동차공업사,교통관련시설지역,잡종지(2지역),2지역,1818,0~15cm,3.01,14,5.39,0.01,19.3,0,129.6,9.4,157,,0,0,0,0,0,0,0,75,,,,,7
2022,김제자동차공업사,교통관련시설지역,잡종지(2지역),2지역,4416,0~15cm,2.59,43.8,8.79,0.03,50,0,276,13.2,361,,0,0,0,0,0,0,0,187,,,,,7.1
