진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2023,여,외래,HA743,17,18,21,8828717
2023,여,외래,HA770,4,4,4,762042
2023,여,외래,HA859,1,1,1,65125
2023,여,외래,HB011,1097107,1621033,2075966.3,9466406598
2023,여,외래,HB021,1389409,1729735,1934816.35,6636416451
2023,여,외래,HB031,547078,609137,638127.56,1557112335
2023,여,외래,HB041,279970,303645,315291.4,879638026
2023,여,외래,HC020,1,1,1,183534
2023,여,외래,HC040,711,714,714,84356196
2023,여,외래,HC050,4565,4595,4679.55,983132254
2023,여,외래,HC061,14414,14613,14631.75,767982854
2023,여,외래,HC062,70,71,71,4608136
2023,여,외래,HC071,666,675,675,84733334
2023,여,외래,HC073,21,21,21,4804813
2023,여,외래,HC074,130,132,132,21784968
2023,여,외래,HC080,26,26,26,2236546
2023,여,외래,HC081,446,446,446,47332102
2023,여,외래,HC082,164,166,166,16329790
2023,여,외래,HC083,3453,5615,5615,926079386
2023,여,외래,HC087,10,10,10,1313250
2023,여,외래,HC111,21,21,21,4567017
2023,여,외래,HC112,59,59,59,4353481
